id,gesture_name,timestamp,ax,ay,az,gx,gy,gz,p0,p1,p2,p3
2,2,10941,-0.01,0.01,0.91,-2.74,-2.9,8.09,4007,3689,4095,4095
2,2,10953,0.02,0.01,0.9,-2.8,-1.38,9.22,3997,3680,4095,4095
2,2,10965,0.02,-0.01,0.91,-2.3,-0.87,9.15,4010,3689,4095,4095
2,2,10977,0.01,0,0.9,-1.47,0.11,7.11,4007,3681,4095,4095
2,2,10989,0.01,-0.02,0.9,-0.65,-0.75,5.96,4016,3681,4095,4095
2,2,11001,0.03,-0.01,0.9,0.19,-1.34,3.99,4016,3681,4095,4095
2,2,11013,0.04,0.02,0.9,0.41,-2.09,1.9,4038,3713,4095,4095
2,2,11025,0.01,-0.01,0.93,-0.36,-3.7,1.06,4022,3680,4095,4095
2,2,11037,-0.01,0,0.91,-1.82,-3.79,2.77,3967,3691,4095,4095
2,2,11049,-0.01,0.01,0.92,-1.94,-3.82,3.69,3981,3695,4095,4095
2,2,11061,-0.02,-0.01,0.91,-2.52,-4.6,5.17,3991,3683,4095,4095
2,2,11073,-0.01,-0.02,0.9,-2.17,-5.31,4.99,3999,3686,4095,4095
2,2,11085,0.01,-0.02,0.91,-1.43,-6.38,3.52,3999,3686,4095,4095
2,2,11097,0.02,-0.01,0.89,-0.4,-7.02,0.18,3979,3690,4095,4095
2,2,11109,0.01,0,0.89,-0.23,-8.41,-3,4016,3695,4095,4095
2,2,11121,0.02,0.01,0.89,0.93,-8.28,-3.3,3988,3685,4095,4095
2,2,11133,0,0.01,0.9,-0.49,-9.07,-2.26,4010,3680,4095,4095
2,2,11145,0.01,0,0.91,0.09,-8.49,0.44,4015,3682,4095,4095
2,2,11157,0.03,0,0.89,-1.07,-8.41,3.64,4007,3683,4095,4095
2,2,11169,0.02,-0.01,0.88,-1.87,-8.23,4.7,4026,3680,4095,4095
2,2,11181,0.03,-0.04,0.89,-1.36,-5.41,5.23,4006,3681,4095,4095
2,2,11193,-0.01,-0.04,0.87,-1.1,-3.97,5.74,4007,3690,4095,4095
2,2,11205,0.01,-0.04,0.89,-0.2,-1.1,3.12,4031,3687,4095,4095
2,2,11217,0.01,-0.04,0.88,-0.04,0.98,0.85,4006,3685,4095,4095
2,2,11229,-0.01,-0.03,0.86,0.51,1.97,-2.78,4014,3679,4095,4095
2,2,11241,0.04,-0.03,0.87,1.38,2.64,-6.56,4016,3683,4095,4095
2,2,11253,0.04,-0.01,0.87,2.04,1.69,-9.82,3982,3695,4095,4095
2,2,11265,0.02,0,0.88,2.67,2.04,-11.62,4033,3683,4095,4095
2,2,11277,0.02,0.02,0.9,1.7,2.23,-9.27,4014,3680,4095,4095
2,2,11289,0,0.03,0.89,0.24,3.56,-5.97,4043,3680,4095,4095
2,2,11301,0.03,0.04,0.89,-1.76,4.53,-2.45,4022,3681,4095,4095
2,2,11313,-0.01,-0.01,0.89,-2.8,4.35,-0.16,4001,3685,4095,4095
2,2,11325,0.01,-0.01,0.9,-2.57,4.17,1.51,4006,3681,4095,4095
2,2,11337,0.01,-0.02,0.91,-1.29,4.69,0.73,4007,3685,4095,4095
2,2,11349,0.01,-0.01,0.91,0.24,3.88,-1.59,4005,3683,4095,4095
2,2,11361,-0.01,-0.02,0.9,0.64,1.31,-2.95,3985,3686,4095,4095
2,2,11373,0,0,0.91,0.59,-0.6,-5.36,4015,3681,4095,4095
2,2,11385,0,-0.01,0.91,0.48,-2.41,-7.43,4010,3680,4095,4095
2,2,11397,-0.01,0,0.9,0.15,-4.69,-8.25,3991,3686,4095,4095
2,2,11409,-0.01,0.01,0.91,0.13,-5.36,-7.94,4001,3682,4095,4095
2,2,11421,0,0.01,0.9,0.24,-6.29,-6.17,4007,3685,4095,4095
2,2,11433,0,0.02,0.89,-0.51,-6.06,-5.5,3979,3680,4095,4095
2,2,11445,0.01,0.01,0.89,-1.39,-5.34,-3.73,4003,3679,4095,4095
2,2,11457,0.02,0.03,0.88,-0.98,-4.61,-3.26,4017,3682,4095,4095
